userid,date.crea,score,n.matches,n.updates.photo,n.photos,last.connex,last.up.photo,last.pr.update,gender,sent.ana,length.prof,voyage,laugh,photo.elevator,photo.beach,Country
23,3/3/2013,0.983916557,6,0,5,3/17/2013,3/15/2013,NA,1,2.857390889,0,0,0,0,0,Germany
24,11/4/2018,3.112341765,28,6,2,12/12/2018,12/6/2018,NA,1,7.055422587,18.84837553,0,0,0,0,England
25,11/26/2015,1.894011522,9,2,5,12/29/2015,12/24/2015,NA,1,2.576934775,39.01410548,0,0,0,1,France
26,7/12/2013,2.902531938,26,3,3,8/8/2013,8/9/2013,NA,1,6.915401945,0,0,0,0,0,Germany
27,6/8/2015,1.651068434,13,2,3,7/17/2015,7/11/2015,NA,1,3.163531492,2.025095442,0,0,0,0,England
28,11/12/2016,2.916497121,16,2,3,12/13/2016,12/14/2016,NA,1,7.536682062,0,0,0,0,1,France
29,4/24/2017,1.481407628,15,0,2,6/9/2017,5/9/2017,NA,0,5.325992335,14.20169931,0,0,0,1,Germany
30,2/22/2013,1.017673585,10,1,1,3/31/2013,3/14/2013,NA,0,7.746570057,33.7845081,1,1,0,0,England
31,3/16/2013,0.562208174,5,1,1,5/14/2013,4/14/2013,NA,0,4.770031434,0,0,0,1,0,France
32,12/25/2011,2.170459716,18,1,4,3/2/2012,1/27/2012,NA,0,2.590848357,29.13195754,0,0,0,0,Germany
33,5/18/2014,1.405122793,14,3,4,7/11/2014,6/29/2014,NA,0,8.629407573,36.52828351,0,0,0,1,England
34,7/21/2015,1.824951425,15,3,4,9/14/2015,8/8/2015,NA,0,4.395392355,0,0,0,0,0,France
35,5/26/2013,1.016681154,4,5,6,7/1/2013,6/29/2013,NA,1,1.848522014,50.14148909,0,1,0,1,Germany
36,9/4/2009,1.819192571,15,1,7,9/20/2009,9/15/2009,NA,1,-1.597035364,0,0,0,0,0,England
37,7/10/2014,1.118587694,8,4,6,8/13/2014,8/1/2014,NA,1,5.38819605,46.4405266,0,0,0,0,France
38,8/28/2019,1.113379967,4,3,6,9/15/2019,9/17/2019,NA,1,4.216677499,37.28183773,0,0,1,1,Germany
39,7/17/2013,2.845472079,18,3,3,8/28/2013,8/26/2013,NA,1,2.698606109,17.52146556,0,1,0,1,England
40,7/23/2009,3.400138868,32,5,3,8/18/2009,8/7/2009,NA,1,3.764322032,0,0,0,1,0,France
41,6/3/2009,0.918692103,8,0,5,7/30/2009,6/26/2009,NA,0,2.984994307,0,0,0,0,1,Germany
42,6/2/2016,2.290605172,26,6,4,6/27/2016,6/28/2016,NA,1,5.769532307,0,1,1,0,0,England
43,12/20/2012,2.899409185,25,3,7,12/22/2012,12/20/2012,NA,1,6.183394041,0,0,0,0,0,France
44,7/14/2015,1.152295723,8,0,2,7/26/2015,7/30/2015,NA,1,3.445120223,28.51084741,0,0,0,0,Germany
45,8/13/2011,2.752662487,15,3,7,9/6/2011,8/29/2011,NA,1,1.931139794,29.93223765,0,0,0,1,England
46,11/12/2018,1.978797043,32,1,3,1/5/2019,12/11/2018,NA,0,7.321610901,0,0,0,1,1,France
47,8/20/2013,1.140848242,8,3,2,9/12/2013,9/11/2013,NA,1,6.407699008,0,0,0,0,0,Germany
48,1/17/2018,0.585193065,7,1,2,2/14/2018,2/5/2018,NA,0,4.0719919,27.07411451,1,1,1,0,England
49,6/5/2014,1.154817039,10,1,4,6/13/2014,6/5/2014,NA,1,7.315213427,0,0,1,0,0,France
50,7/15/2016,0.977201296,6,2,2,7/21/2016,7/15/2016,NA,1,1.776975486,46.44272996,0,0,0,0,Germany
51,10/6/2017,1.998277018,19,3,6,10/30/2017,10/21/2017,NA,1,2.606262787,20.54222678,0,1,0,0,England
52,12/20/2016,2.342881763,12,2,5,1/20/2017,1/15/2017,NA,1,1.915663473,27.48591407,0,0,0,1,France
53,4/29/2010,3.343823674,19,1,9,5/19/2010,5/13/2010,NA,1,4.783845427,0,0,0,0,1,Germany
54,6/1/2016,1.913511311,16,2,3,7/1/2016,6/1/2016,NA,0,3.02306791,14.61231451,0,0,0,0,England
55,3/15/2015,3.675863946,42,1,4,5/15/2015,3/31/2015,NA,0,3.841251274,35.82558228,0,0,0,1,France
56,3/17/2013,3.220543637,29,1,2,5/8/2013,4/12/2013,NA,0,6.826333906,0,0,0,0,0,Germany
57,4/13/2012,4.776977486,28,3,6,5/11/2012,5/4/2012,NA,1,6.509715444,0,0,0,0,1,England
58,6/22/2011,6.279608394,44,3,3,7/21/2011,7/18/2011,NA,1,6.990106026,0,1,0,0,1,France
59,8/7/2017,0.825908509,5,1,3,10/3/2017,9/2/2017,NA,0,2.527034907,0,0,0,0,0,Germany
60,12/17/2013,1.143847632,16,1,2,2/13/2014,1/13/2014,NA,0,5.570149708,22.48852767,0,1,1,0,England
61,12/11/2016,2.656104396,23,3,3,12/29/2016,1/2/2017,NA,1,7.929188297,30.06037422,0,0,0,0,France
62,2/25/2012,1.590112371,16,1,3,4/29/2012,3/22/2012,NA,0,2.428894091,30.81103573,0,0,0,1,Germany
63,10/20/2015,1.332601602,11,2,4,11/6/2015,11/7/2015,NA,1,5.085666919,0,0,0,1,0,England
64,1/10/2012,1.773936488,19,5,2,2/27/2012,1/31/2012,NA,0,6.305566375,4.062272654,0,0,0,1,France
65,1/20/2019,0.611690525,6,0,3,3/14/2019,2/11/2019,NA,0,6.14033954,0,1,0,1,0,Germany
66,10/28/2010,1.630304599,13,2,2,12/12/2010,11/15/2010,NA,0,1.702264127,0,0,0,0,0,England
67,7/31/2015,2.26202678,22,3,3,8/24/2015,8/17/2015,NA,1,4.355452494,0,1,0,0,0,France
68,1/31/2012,1.434036989,11,3,3,3/18/2012,2/21/2012,NA,0,6.66511435,0,0,0,0,0,Germany
69,10/14/2012,1.909844727,16,2,4,12/8/2012,11/2/2012,NA,0,6.64166447,0,0,0,0,0,England
70,8/13/2014,0.764950341,8,6,2,10/1/2014,8/27/2014,NA,0,5.380857125,36.78076672,0,1,0,1,France
71,7/25/2009,1.476840995,18,0,3,9/28/2009,8/19/2009,NA,0,4.841302496,0,0,1,0,1,Germany
72,1/12/2015,1.013976091,7,2,5,3/21/2015,2/9/2015,NA,0,5.599969759,20.87762664,0,0,0,0,England
73,6/2/2013,1.56425859,14,0,8,6/15/2013,6/16/2013,NA,1,5.371966612,0,0,1,0,0,France
74,7/14/2009,2.511044855,25,2,4,8/10/2009,8/8/2009,NA,1,3.898118762,0,0,1,0,0,Germany
75,11/22/2018,0.973060048,6,4,2,12/4/2018,11/27/2018,NA,0,4.73186256,0,0,0,0,0,England
76,7/11/2012,0.74757166,7,1,4,9/6/2012,7/29/2012,NA,0,5.982832906,47.84010382,0,0,1,0,France
77,11/21/2009,2.727902609,24,4,1,12/17/2009,12/10/2009,NA,0,5.499287458,14.09748694,0,0,0,0,Germany
78,4/27/2017,2.745374866,24,3,2,6/15/2017,5/5/2017,NA,0,8.821273354,0,0,0,0,0,England
79,11/29/2010,1.475965511,11,1,4,1/3/2011,1/1/2011,NA,1,5.560212076,33.15096222,0,0,0,0,France
80,1/29/2011,2.638445951,23,2,2,3/8/2011,2/18/2011,NA,0,4.94649486,0,0,0,0,0,Germany
81,4/11/2010,1.408851003,11,2,6,6/6/2010,5/9/2010,NA,0,3.698535455,0,0,0,0,0,England
82,4/19/2017,0.716984746,4,3,3,5/6/2017,5/4/2017,NA,0,5.950292147,29.20120626,1,0,0,0,France
83,12/25/2012,0.736982384,4,-1,5,3/7/2013,2/2/2013,NA,0,4.579277744,0,0,0,0,0,Germany
84,4/17/2015,1.396499244,10,4,8,5/28/2015,5/16/2015,NA,1,5.557526192,0,0,0,0,0,England
85,3/22/2012,3.019547086,19,3,2,4/11/2012,4/8/2012,NA,1,5.914936536,16.44453873,0,1,0,1,France
86,4/13/2012,1.87612699,23,3,5,5/29/2012,4/20/2012,NA,0,9.353680422,22.42093919,0,0,1,0,Germany
87,6/22/2014,2.353395494,20,2,7,8/12/2014,7/23/2014,NA,0,3.626519705,0,0,0,0,0,England
88,6/13/2009,2.682890633,23,1,7,7/5/2009,7/5/2009,NA,1,4.954754902,0,0,0,0,0,France
89,9/27/2010,2.428355193,31,2,5,12/19/2010,11/2/2010,NA,0,7.744807316,0,0,0,1,0,Germany
90,5/5/2010,0.904998894,6,1,3,7/3/2010,6/17/2010,NA,0,4.723640103,25.99228292,0,0,0,0,England
91,2/25/2015,1.004793452,12,4,4,5/1/2015,3/19/2015,NA,0,4.044613306,35.53997166,1,0,1,0,France
92,10/13/2019,1.154386035,9,0,2,11/21/2019,11/13/2019,NA,1,8.655962985,29.97355611,0,0,1,0,Germany
93,6/29/2016,1.117512345,8,0,3,9/3/2016,7/13/2016,NA,0,3.466339005,19.45176345,0,0,0,0,England
94,5/7/2015,2.943168638,26,5,5,5/27/2015,5/30/2015,NA,1,5.81925747,24.2212918,0,0,0,0,France
95,8/30/2010,0.739023953,5,1,3,10/10/2010,9/24/2010,NA,0,0.063091689,43.47829518,1,0,0,0,Germany
96,2/21/2009,0.53581825,4,-1,1,3/7/2009,2/21/2009,NA,0,0.222639432,32.2642734,0,0,1,0,England
97,11/11/2017,1.463621718,13,3,7,12/14/2017,12/9/2017,NA,1,5.806119565,11.59136485,1,0,0,0,France
98,4/24/2015,1.497751757,6,2,5,4/21/2015,4/24/2015,NA,1,4.978328476,0,0,0,0,1,Germany
99,2/15/2017,1.509932466,12,4,3,2/24/2017,2/16/2017,NA,1,4.446655646,0,0,0,0,0,England
100,6/16/2012,2.624697268,16,3,4,7/4/2012,6/29/2012,NA,1,5.908392595,31.24443064,1,0,0,1,France
101,3/20/2017,0.839708823,8,3,1,5/14/2017,4/5/2017,NA,0,5.342474254,0,0,0,1,0,Germany
102,11/25/2014,1.953443319,16,4,4,1/7/2015,12/10/2014,NA,0,6.502367626,0,0,0,0,0,England
103,10/22/2014,1.099952879,7,1,1,11/29/2014,11/8/2014,NA,0,7.015408497,0,0,0,0,0,France
104,3/17/2019,2.757982581,27,3,1,5/16/2019,4/18/2019,NA,0,3.673326011,17.47478453,1,0,0,0,Germany
105,2/12/2017,1.800055828,20,1,7,3/11/2017,3/8/2017,NA,1,3.181711189,0,1,1,0,0,England
106,12/9/2017,1.804840085,15,0,7,12/28/2017,12/21/2017,NA,1,3.495071162,37.70951477,0,0,1,0,France
107,9/15/2017,1.010131696,8,1,3,10/13/2017,10/7/2017,NA,1,4.619124704,40.6208444,1,0,0,0,Germany
108,7/16/2011,0.755961211,5,1,1,8/8/2011,8/2/2011,NA,1,4.631022719,0,1,0,0,0,England
109,3/18/2012,2.417813157,21,5,3,5/7/2012,4/11/2012,NA,0,6.04030405,0,0,0,0,0,France
110,3/9/2010,1.997764457,16,1,3,3/23/2010,3/9/2010,NA,0,5.103873522,32.91982749,0,0,0,0,Germany
111,2/9/2017,0.952055023,6,1,3,3/11/2017,3/4/2017,NA,1,5.522802692,0,0,0,0,0,England
112,2/2/2014,1.115120763,8,3,2,2/19/2014,2/17/2014,NA,1,7.395001107,32.50983338,0,0,0,0,France
113,7/5/2016,2.066919047,20,2,5,7/20/2016,7/14/2016,NA,1,4.119914914,0,1,0,0,0,Germany
114,7/14/2015,2.337295032,22,0,5,8/14/2015,7/20/2015,NA,0,2.732638044,32.16738729,1,0,0,0,England
115,6/8/2012,2.391100151,31,1,6,7/5/2012,6/12/2012,NA,0,8.794372258,27.1735116,0,0,1,0,France
116,6/1/2009,1.49951694,13,2,2,7/11/2009,6/14/2009,NA,0,4.47188198,35.71699809,1,0,0,0,Germany
117,10/5/2017,1.166476624,4,1,7,11/3/2017,11/3/2017,NA,1,5.962594427,0,0,0,0,1,England
118,2/29/2012,0.927092777,6,0,2,3/15/2012,3/6/2012,NA,1,3.831091302,36.65848479,0,0,0,0,France
119,1/5/2019,1.632237654,13,1,8,1/28/2019,1/28/2019,NA,1,2.482169226,35.92656273,0,0,0,0,Germany
120,10/14/2014,1.341135824,5,4,5,11/11/2014,11/16/2014,NA,1,8.390725507,15.27998261,0,0,0,1,England
121,7/15/2017,2.703530571,24,1,5,8/4/2017,7/26/2017,NA,1,5.541093277,0,0,0,0,0,France
122,1/29/2011,2.330415393,20,3,5,2/19/2011,2/17/2011,NA,1,5.277006691,3.165849618,0,0,0,0,Germany
123,6/8/2010,1.778501867,14,6,2,8/8/2010,7/4/2010,NA,0,5.425435651,0,0,0,0,0,England
124,7/31/2019,1.187596386,5,0,3,9/2/2019,8/26/2019,NA,1,2.938481437,0,1,0,0,1,France
125,5/15/2011,2.659203002,14,0,1,6/14/2011,6/13/2011,NA,1,9.647710606,34.57476823,0,0,0,1,Germany
126,7/3/2016,2.631254303,34,3,3,8/30/2016,7/22/2016,NA,0,8.052844671,26.53938465,0,0,1,0,England
127,7/26/2012,1.714126335,18,2,2,10/12/2012,9/9/2012,NA,0,4.304212309,0,0,0,0,1,France
128,11/9/2014,1.948893288,16,3,4,11/25/2014,11/17/2014,NA,1,5.921518918,0,0,0,0,0,Germany
129,10/28/2011,2.534774905,34,1,1,12/17/2011,11/9/2011,NA,0,2.77653201,24.30573694,0,1,0,1,England
130,12/12/2015,3.608708884,37,2,5,1/13/2016,1/3/2016,NA,0,2.957289474,26.66440103,1,0,0,0,France
131,6/13/2014,2.296842465,22,1,4,7/10/2014,6/27/2014,NA,0,5.920424859,9.765972957,1,0,0,0,Germany
132,12/16/2012,2.014912608,25,3,3,1/19/2013,12/31/2012,NA,0,3.640394277,0,0,0,1,0,England
133,3/22/2014,1.225205793,6,1,3,5/4/2014,5/7/2014,NA,1,2.618193855,0,0,1,0,1,France
134,8/1/2012,0.842548732,7,2,1,8/23/2012,8/21/2012,NA,1,5.288419137,24.90644406,0,1,1,0,Germany
135,10/19/2014,1.874131965,15,2,5,11/18/2014,11/17/2014,NA,1,5.195601936,42.60231982,0,0,0,0,England
136,3/5/2011,1.436899242,11,0,6,3/7/2011,3/5/2011,NA,1,1.242359232,0,0,0,0,0,France
137,1/12/2015,1.382841933,20,2,2,3/23/2015,2/1/2015,NA,0,8.653538369,0,0,1,1,0,Germany
138,9/16/2019,3.273902411,29,4,3,11/21/2019,10/30/2019,NA,0,4.998615386,30.2247875,0,0,0,0,England
139,4/15/2018,3.477462136,46,2,3,6/18/2018,5/11/2018,NA,0,6.739304107,29.89667207,0,0,1,0,France
140,10/11/2012,1.616445949,13,0,4,11/6/2012,10/31/2012,NA,1,9.744628536,18.55859563,0,0,0,0,Germany
141,6/7/2018,1.735285633,16,2,2,7/21/2018,6/13/2018,NA,0,6.349502091,0,1,0,0,0,England
142,9/29/2010,1.528415477,12,0,7,10/27/2010,10/21/2010,NA,1,6.468317346,0,0,0,0,0,France
143,7/3/2017,2.179403524,18,2,4,8/25/2017,7/25/2017,NA,0,7.680360119,27.97474527,0,0,0,0,Germany
144,10/18/2012,1.010336216,7,0,2,1/20/2013,11/27/2012,NA,0,3.036995415,33.98433625,0,0,0,0,England
145,8/31/2014,0.956767897,6,0,4,10/20/2014,9/15/2014,NA,0,4.712102873,14.28282008,0,0,0,0,France
146,9/14/2015,5.760221425,40,3,1,10/14/2015,10/7/2015,NA,1,5.965730281,34.78521992,1,0,0,1,Germany
147,5/21/2013,2.956494325,35,1,6,6/25/2013,6/19/2013,NA,1,4.558222517,0,1,1,0,0,England
148,7/22/2016,3.025607671,27,3,1,9/8/2016,8/18/2016,NA,0,7.843192588,8.324861265,0,0,0,0,France
149,1/18/2009,2.983088696,26,1,3,2/16/2009,2/11/2009,NA,1,5.705695047,30.08098013,0,0,0,0,Germany
150,8/24/2012,1.660282323,15,3,5,9/17/2012,9/14/2012,NA,1,4.813812851,18.84353769,0,1,0,0,England
151,4/9/2010,1.908685524,16,5,3,5/6/2010,5/3/2010,NA,1,0.561221576,0,0,0,0,0,France
152,7/14/2014,1.473119439,13,0,4,8/16/2014,8/10/2014,NA,1,6.027990262,0,1,0,0,0,Germany
153,3/11/2012,2.007777325,17,4,6,4/25/2012,4/23/2012,NA,1,6.940941509,19.32070048,0,0,0,0,England
154,6/4/2010,3.646284646,33,2,3,7/4/2010,6/25/2010,NA,0,6.619967074,22.86121608,0,0,0,0,France
155,3/10/2015,1.242162644,9,3,2,4/4/2015,3/12/2015,NA,0,3.780781768,0,0,0,0,0,Germany
156,7/7/2014,0.969758645,6,0,5,7/29/2014,7/29/2014,NA,1,2.936211392,37.89483202,0,0,0,0,England
157,9/20/2011,3.154752057,32,5,2,11/2/2011,10/9/2011,NA,0,4.821772317,31.3187714,1,0,0,0,France
158,11/11/2010,3.431822428,51,3,5,1/18/2011,12/11/2010,NA,0,6.49048791,31.54657436,1,0,1,0,Germany
159,6/14/2015,1.021308841,7,1,4,7/15/2015,7/8/2015,NA,2,6.894234293,16.38415917,1,0,0,1,England
160,2/19/2011,4.248709031,29,5,4,3/18/2011,3/13/2011,NA,1,8.253038852,0,0,1,0,1,France
161,5/30/2019,1.399891134,16,3,2,7/12/2019,6/25/2019,NA,0,7.219295183,39.11760255,0,0,1,0,Germany
162,6/14/2010,1.676423267,16,1,1,8/20/2010,7/22/2010,NA,0,7.837575816,0,0,1,0,0,England
163,6/27/2012,1.124889299,13,0,2,8/17/2012,7/19/2012,NA,0,9.837538624,29.29427975,0,0,1,0,France
164,12/3/2009,1.728171668,16,2,6,12/19/2009,12/16/2009,NA,1,3.722026608,0,1,0,0,0,Germany
165,7/15/2013,3.744466262,21,1,4,7/29/2013,7/23/2013,NA,1,7.619904767,0,0,0,0,1,England
166,7/4/2013,1.98129164,16,1,3,8/1/2013,7/28/2013,NA,1,6.933727271,0,0,0,0,0,France
167,4/2/2011,4.931000122,46,1,7,5/5/2011,5/2/2011,NA,1,5.791356543,26.32566796,0,0,0,0,Germany
168,4/13/2010,3.887859968,47,3,3,5/29/2010,5/15/2010,NA,0,7.93277133,29.92517608,1,1,0,0,England
169,9/24/2010,1.490918826,12,3,2,10/19/2010,10/13/2010,NA,1,2.43937849,0,0,0,1,0,France
170,3/26/2009,1.509736824,12,0,2,5/19/2009,4/13/2009,NA,0,4.927404355,0,0,0,0,0,Germany
171,12/14/2017,1.413553265,13,1,1,12/17/2017,12/14/2017,NA,1,5.250711686,0,0,1,1,0,England
172,1/14/2010,2.274353321,19,2,3,2/17/2010,1/23/2010,NA,0,6.672141213,17.47498318,0,0,0,0,France
173,7/12/2009,1.801957193,22,4,3,9/15/2009,8/8/2009,NA,0,5.050111014,0,0,0,1,0,Germany
174,6/1/2010,2.690396534,42,1,2,8/3/2010,6/13/2010,NA,0,9.575511433,0,0,1,1,0,England
175,9/18/2016,3.065713968,27,3,1,9/7/2016,9/18/2016,NA,1,2.537017237,0,0,0,0,0,France
176,10/6/2011,1.62476996,20,2,3,12/4/2011,10/31/2011,NA,0,5.885249513,1.361047381,0,0,1,0,Germany
177,4/23/2018,1.250554836,5,5,4,6/2/2018,5/26/2018,NA,1,8.040855165,0,0,0,0,1,England
178,10/2/2015,2.042594344,17,1,1,12/10/2015,11/13/2015,NA,0,5.991021304,11.469105,0,0,0,0,France
179,12/13/2018,2.032457415,26,2,2,2/11/2019,1/2/2019,NA,0,7.090056652,25.71642522,0,0,1,0,Germany
180,3/12/2009,2.790310048,28,3,6,3/13/2009,3/12/2009,NA,1,6.949950783,0,1,0,0,0,England
181,12/5/2011,1.417877035,11,4,1,12/29/2011,12/18/2011,NA,2,7.068309144,0,1,0,0,0,France
182,2/2/2016,1.430549928,12,1,1,3/26/2016,2/25/2016,NA,0,2.208435814,24.32630218,1,0,0,0,Germany
183,4/1/2012,2.962138615,34,6,4,5/17/2012,4/20/2012,NA,0,7.661529049,0,0,0,0,1,England
184,7/5/2017,0.923919445,8,4,2,8/23/2017,7/24/2017,NA,0,6.853746893,0,0,0,0,1,France
185,5/30/2016,0.889532999,5,1,4,7/1/2016,6/10/2016,NA,0,6.362122221,38.18007058,0,0,0,0,Germany
186,7/6/2019,1.565669093,12,1,4,8/14/2019,8/10/2019,NA,1,3.873900544,27.18864583,0,0,0,0,England
187,12/23/2018,0.831959234,8,2,6,2/10/2019,1/8/2019,NA,0,5.238748587,18.05711353,0,0,1,0,France
188,10/1/2016,1.011306033,13,2,3,11/22/2016,11/13/2016,NA,0,5.128656961,0,1,0,1,0,Germany
189,5/13/2012,1.676892979,8,2,3,6/15/2012,6/9/2012,NA,1,2.702437434,0,0,0,0,1,England
190,1/18/2013,1.045729325,7,3,8,2/24/2013,2/20/2013,NA,1,6.822664288,0,0,0,0,0,France
191,5/10/2017,1.127232593,8,5,1,6/10/2017,6/7/2017,NA,1,4.608424394,39.97673969,0,0,1,0,Germany
192,6/11/2012,1.025442651,7,3,3,7/6/2012,6/29/2012,NA,1,4.514713622,10.51183304,0,0,0,0,England
193,9/7/2014,3.623523642,33,3,5,10/27/2014,9/25/2014,NA,0,4.852483448,25.72392852,0,0,0,0,France
194,11/9/2010,1.341196589,10,0,5,12/5/2010,12/2/2010,NA,1,5.899277145,0,0,0,0,0,Germany
195,2/14/2011,1.745332655,10,4,9,3/1/2011,2/23/2011,NA,1,3.799694158,0,0,1,0,1,England
196,11/12/2015,1.052238645,12,0,4,1/2/2016,11/30/2015,NA,0,4.378042467,0,0,0,1,0,France
197,7/3/2013,1.800717665,9,3,5,7/22/2013,7/19/2013,NA,1,2.868177608,0,0,0,0,1,Germany
198,1/21/2017,3.163521012,28,3,9,3/5/2017,3/5/2017,NA,1,4.082143086,0,0,0,0,0,England
199,10/19/2009,2.51328807,32,8,1,12/30/2009,11/19/2009,NA,0,5.570123195,0,0,0,1,0,France
200,10/10/2009,1.922126735,16,0,5,10/11/2009,10/10/2009,NA,1,6.557287786,0,0,0,0,0,Germany
201,9/4/2015,0.803769422,8,2,2,10/8/2015,10/2/2015,NA,0,5.317395726,58.2214896,0,0,1,0,England
202,9/23/2018,3.902461837,36,1,3,12/4/2018,10/29/2018,NA,0,4.303523846,41.09586466,0,0,0,0,France
203,1/8/2019,1.634810157,13,2,3,1/20/2019,1/19/2019,NA,2,5.145430746,16.86256913,0,0,0,1,Germany
204,12/25/2016,1.653388424,16,2,3,1/27/2017,1/10/2017,NA,0,7.601600533,40.71854123,0,1,0,0,England
205,4/2/2010,2.016338517,17,2,5,5/18/2010,5/4/2010,NA,0,5.017680656,20.00233786,0,0,0,0,France
206,10/25/2013,1.960858917,16,2,1,12/4/2013,11/18/2013,NA,0,5.271105622,0,0,0,0,0,Germany
207,3/3/2015,2.673225667,14,6,3,3/18/2015,3/20/2015,NA,1,7.095881513,0,0,0,0,1,England
208,3/9/2015,3.592288578,32,5,4,4/2/2015,3/28/2015,NA,2,8.758744878,0,1,0,0,0,France
209,5/5/2013,2.44959042,21,0,2,7/15/2013,5/25/2013,NA,0,7.262856302,0,0,0,0,0,Germany
210,10/8/2009,6.786067983,42,2,6,11/1/2009,10/28/2009,NA,1,2.985865901,10.30858338,0,0,0,1,England
211,9/8/2019,1.172457527,4,-1,5,10/9/2019,10/1/2019,NA,1,7.963634888,38.22211391,0,0,0,1,France
212,8/21/2010,0.82349923,5,0,6,9/23/2010,9/25/2010,NA,1,1.915330532,16.51247417,0,0,0,0,Germany
213,8/31/2015,3.315897463,30,2,4,10/16/2015,9/17/2015,NA,0,2.593463327,14.40251811,0,0,0,0,England
214,10/30/2010,1.477317871,6,1,5,11/9/2010,11/4/2010,NA,1,6.191668057,38.35239036,0,0,0,1,France
215,1/17/2011,1.153961702,9,1,1,2/27/2011,1/31/2011,NA,0,5.497909794,25.45474554,1,0,0,0,Germany
216,3/17/2012,2.725447894,25,2,5,4/12/2012,4/15/2012,NA,1,8.173109771,26.27161919,0,0,1,0,England
217,10/23/2013,0.620180063,5,1,3,11/12/2013,10/31/2013,NA,0,5.737523977,21.39418704,0,0,1,0,France
218,6/3/2012,1.127713929,4,0,3,7/1/2012,6/27/2012,NA,1,3.638715838,11.85746627,0,0,0,1,Germany
219,12/19/2013,1.468817163,14,3,2,2/19/2014,1/6/2014,NA,0,6.219087445,0,0,1,0,0,England
220,10/7/2010,2.121049072,21,0,5,10/28/2010,10/25/2010,NA,1,3.335533284,0,0,1,0,0,France
221,1/12/2017,2.801989535,25,4,7,3/4/2017,3/5/2017,NA,1,7.022087532,0,0,0,0,0,Germany
222,3/20/2009,2.422510145,25,2,7,4/12/2009,4/12/2009,NA,1,8.068088085,0,0,1,1,0,England
223,3/16/2017,3.467811177,31,4,7,4/18/2017,4/17/2017,NA,1,9.335269125,13.61755887,0,0,0,0,France
224,12/13/2017,1.039603293,8,5,1,1/5/2018,1/1/2018,NA,1,5.56952657,0,0,1,0,0,Germany
225,8/1/2015,3.31356708,44,1,2,9/27/2015,8/29/2015,NA,0,7.138435253,0,0,0,1,0,England
226,8/6/2014,4.624839686,43,2,8,8/13/2014,8/8/2014,NA,1,9.194799706,0,0,0,0,0,France
227,1/4/2011,3.322063135,30,5,3,2/2/2011,1/25/2011,NA,1,5.602133664,0,0,0,0,0,Germany
